name,dis,freq,fga,fgp,jrsmith1,jrsmith2
Stephen Curry,0-4 Feet,0.25137614678899084,200,0.3,0,0
Stephen Curry,4-6 Feet,0.4513761467889908,359,0.437,0,0
Stephen Curry,6+ Feet,0.2972477064220183,236,0.453,0,0
James Harden,0-4 Feet,0.4949290060851927,373,0.3163538873994638,0,1
James Harden,4-6 Feet,0.4036511156186613,305,0.374,0,1
James Harden,6+ Feet,0.10141987829614606,77,0.39,0,1
Eric Gordon,0-4 Feet,0.11963190184049081,79,0.3037974683544304,0,0
Eric Gordon,4-6 Feet,0.4340490797546012,287,0.369,0,0
Eric Gordon,6+ Feet,0.446319018404908,295,0.393,0,0
Klay Thompson,0-4 Feet,0.26595744680851063,173,0.3468208092485549,0,0
Klay Thompson,4-6 Feet,0.4,260,0.412,0,0
Klay Thompson,6+ Feet,0.3340425531914894,218,0.468,0,0
Isaiah Thomas,0-4 Feet,0.4977168949771689,321,0.3333333333333333,0,1
Isaiah Thomas,4-6 Feet,0.36986301369863017,239,0.389,0,1
Isaiah Thomas,6+ Feet,0.13242009132420093,86,0.523,0,1
Kemba Walker,0-4 Feet,0.4216867469879518,253,0.391304347826087,0,1
Kemba Walker,4-6 Feet,0.4048192771084338,243,0.374,0,1
Kemba Walker,6+ Feet,0.17349397590361446,104,0.481,0,1
Russell Westbrook,0-4 Feet,0.2691029900332226,157,0.28662420382165604,0,0
Russell Westbrook,4-6 Feet,0.4651162790697675,271,0.343,0,0
Russell Westbrook,6+ Feet,0.26578073089701,155,0.4,0,0
Damian Lillard,0-4 Feet,0.3239795918367347,188,0.3776595744680851,1,0
Damian Lillard,4-6 Feet,0.48214285714285715,280,0.361,1,0
Damian Lillard,6+ Feet,0.19387755102040816,112,0.375,1,0
Trevor Ariza,0-4 Feet,0.15251798561151078,84,0.17857142857142858,0,0
Trevor Ariza,4-6 Feet,0.4100719424460431,225,0.351,0,0
Trevor Ariza,6+ Feet,0.43741007194244597,240,0.388,0,0
Bradley Beal,0-4 Feet,0.1722488038277512,95,0.35789473684210527,0,0
Bradley Beal,4-6 Feet,0.44258373205741625,243,0.412,0,0
